Reserva;Hospede;Email;Contagem de Reserva;DataCheckin
400263;André Correia;andré.correia@hotmail.com;1.0;5/12/26
400132;Cristina Batista;cristina.batista@uol.com.br;1.0;5/12/26
400446;Marcos Cavalcanti;marcos.cavalcanti@outlook.com;1.0;5/12/26
400129;Henrique Dias;hdias@hotmail.com;1.0;5/12/26
400305;Aline Castro;aline397@gmail.com;1.0;5/12/26
400326;Carlos Souza;carlos419@yahoo.com.br;1.0;5/12/26
400335;Luciana Melo;lmelo@gmail.com;1.0;5/12/26
400546;Rafael Alves;ralves@yahoo.com.br;1.0;5/12/26
400156;Luciana Melo;luciana.melo@yahoo.com.br;1.0;5/12/26
400381;Henrique Dias;hdias@outlook.com;1.0;5/12/26
400554;Juliana Pereira;juliana680@yahoo.com.br;1.0;5/12/26
400179;Henrique Dias;henrique.dias@gmail.com;1.0;5/12/26
400419;André Correia;andré.correia@uol.com.br;1.0;5/12/26
400562;Natália Campos;natália237@uol.com.br;1.0;5/12/26
400457;Felipe Ramos;felipe.ramos@gmail.com;1.0;5/12/26
400116;Eliane Duarte;eliane.duarte@yahoo.com.br;1.0;5/12/26
400489;Vinícius Pinto;vinícius.pinto@hotmail.com;1.0;5/12/26
400556;Aline Castro;acastro@hotmail.com;1.0;5/12/26
400218;Eliane Duarte;eduarte@uol.com.br;1.0;5/12/26
400239;Eliane Duarte;eliane.duarte@gmail.com;1.0;5/12/26
400369;Diego Martins;diego794@yahoo.com.br;1.0;5/12/26
400558;Luciana Melo;lmelo@yahoo.com.br;1.0;5/12/26
400315;Leandro Vieira;lvieira@yahoo.com.br;1.0;5/12/26
400532;André Correia;andré.correia@uol.com.br;1.0;5/12/26
400455;Mariana Costa;mcosta@hotmail.com;1.0;5/11/26
400443;Thiago Carvalho;thiago799@outlook.com;1.0;5/11/26
400585;Rodrigo Teixeira;rodrigo494@yahoo.com.br;1.0;5/11/26
400470;Luciana Melo;luciana.melo@hotmail.com;1.0;5/11/26
400401;Leandro Vieira;lvieira@hotmail.com;1.0;5/11/26
400251;Simone Azevedo;simone716@yahoo.com.br;1.0;5/11/26
400332;Diego Martins;diego.martins@hotmail.com;1.0;5/11/26
400587;Isabela Cardoso;icardoso@outlook.com;1.0;5/11/26
400294;Renata Freitas;renata.freitas@hotmail.com;1.0;5/11/26
400403;Ana Silva;asilva@outlook.com;1.0;5/11/26
400434;Fernanda Lima;flima@hotmail.com;1.0;5/11/26
400569;Débora Lopes;dlopes@outlook.com;1.0;5/11/26
400221;Bruno Santos;bsantos@uol.com.br;1.0;5/11/26
400532;Amanda Nunes;amanda.nunes@gmail.com;1.0;5/11/26
400173;Priscila Gomes;priscila123@gmail.com;1.0;5/11/26
400270;Fernanda Lima;fernanda.lima@hotmail.com;1.0;5/11/26
400481;Fernanda Lima;fernanda2@outlook.com;1.0;5/11/26
400344;Eduardo Cunha;eduardo775@hotmail.com;1.0;5/11/26
400198;Felipe Ramos;felipe.ramos@yahoo.com.br;1.0;5/11/26
400299;Leandro Vieira;leandro.vieira@yahoo.com.br;1.0;5/11/26
400132;Patrícia Moreira;pmoreira@uol.com.br;1.0;5/11/26
400252;André Correia;andré980@uol.com.br;1.0;5/11/26
400567;Camila Rocha;crocha@outlook.com;1.0;5/11/26
400255;Patrícia Moreira;patrícia222@outlook.com;1.0;5/11/26
400509;Rafael Alves;rafael.alves@yahoo.com.br;1.0;5/11/26
400424;Gustavo Araujo;gustavo488@hotmail.com;1.0;5/11/26
400537;Fernanda Lima;fernanda.lima@gmail.com;1.0;5/11/26
400129;Henrique Dias;henrique186@gmail.com;1.0;5/11/26
400434;Mariana Costa;mcosta@uol.com.br;1.0;5/11/26
400185;Cristina Batista;cbatista@hotmail.com;1.0;5/11/26
400297;Henrique Dias;henrique.dias@uol.com.br;1.0;5/11/26
400463;Amanda Nunes;amanda228@gmail.com;1.0;5/11/26
400195;Juliana Pereira;jpereira@uol.com.br;1.0;5/11/26
400519;Rafael Alves;rafael53@outlook.com;1.0;5/11/26
400453;Leandro Vieira;lvieira@hotmail.com;1.0;5/11/26
400186;Fábio Nascimento;fábio.nascimento@outlook.com;1.0;5/11/26
400393;Vinícius Pinto;vinícius871@hotmail.com;1.0;5/11/26
400144;Marcelo Barbosa;marcelo.barbosa@hotmail.com;1.0;5/11/26
400242;Thiago Carvalho;tcarvalho@outlook.com;1.0;5/11/26
400425;Patrícia Moreira;patrícia.moreira@yahoo.com.br;1.0;5/11/26
400506;Priscila Gomes;priscila.gomes@yahoo.com.br;1.0;5/11/26
400534;Luciana Melo;lmelo@yahoo.com.br;1.0;5/11/26
400146;Leonardo Ribeiro;leonardo.ribeiro@hotmail.com;1.0;5/11/26
400420;Paulo Figueiredo;pfigueiredo@outlook.com;1.0;5/11/26
400418;Amanda Nunes;anunes@yahoo.com.br;1.0;5/11/26
400415;Felipe Ramos;framos@gmail.com;1.0;5/11/26
400532;Paulo Figueiredo;pfigueiredo@hotmail.com;1.0;5/11/26
400134;Roberto Macedo;roberto558@gmail.com;1.0;5/11/26
400214;Paulo Figueiredo;paulo.figueiredo@uol.com.br;1.0;5/11/26
400311;Ana Silva;ana.silva@outlook.com;1.0;5/11/26
400467;Leandro Vieira;leandro.vieira@hotmail.com;1.0;5/11/26
400258;Aline Castro;aline.castro@uol.com.br;1.0;5/11/26
400608;Pedro Oliveira;poliveira@outlook.com;1.0;5/11/26
400328;Fábio Nascimento;fábio.nascimento@hotmail.com;1.0;5/10/26
400214;Camila Rocha;camila.rocha@uol.com.br;1.0;5/10/26
400269;Henrique Dias;hdias@yahoo.com.br;1.0;5/10/26
400300;Fábio Nascimento;fábio185@hotmail.com;1.0;5/10/26
400619;Vinícius Pinto;vpinto@yahoo.com.br;1.0;5/10/26
400428;Marcos Cavalcanti;mcavalcanti@outlook.com;1.0;5/10/26
400565;Leonardo Ribeiro;leonardo.ribeiro@hotmail.com;1.0;5/10/26
400292;Thiago Carvalho;thiago.carvalho@hotmail.com;1.0;5/10/26
400374;Vinícius Pinto;vinícius.pinto@yahoo.com.br;1.0;5/10/26
400626;Gustavo Araujo;garaujo@uol.com.br;1.0;5/10/26
400534;Carlos Souza;csouza@outlook.com;1.0;5/10/26
400494;Eliane Duarte;eliane118@outlook.com;1.0;5/10/26
400202;Eduardo Cunha;eduardo457@uol.com.br;1.0;5/10/26
400228;Larissa Ferreira;larissa.ferreira@hotmail.com;1.0;5/10/26
400287;Cristina Batista;cristina.batista@hotmail.com;1.0;5/10/26
400309;Marcelo Barbosa;marcelo.barbosa@uol.com.br;1.0;5/10/26
400453;Tatiane Monteiro;tmonteiro@uol.com.br;1.0;5/10/26
400653;Fernanda Lima;fernanda.lima@outlook.com;1.0;5/10/26
400405;Eliane Duarte;eliane.duarte@uol.com.br;1.0;5/10/26
400406;Simone Azevedo;simone962@gmail.com;1.0;5/10/26
400436;Mariana Costa;mariana345@gmail.com;1.0;5/10/26
400415;Vanessa Mendes;vanessa.mendes@yahoo.com.br;1.0;5/10/26
400483;Fernanda Lima;fernanda.lima@hotmail.com;1.0;5/10/26
400570;Carlos Souza;carlos.souza@gmail.com;1.0;5/10/26
400631;Thiago Carvalho;thiago526@uol.com.br;1.0;5/10/26
400255;Simone Azevedo;simone506@yahoo.com.br;1.0;5/10/26
400387;Fernanda Lima;flima@outlook.com;1.0;5/10/26
400429;Pedro Oliveira;pedro349@uol.com.br;1.0;5/10/26
400351;Thiago Carvalho;thiago973@gmail.com;1.0;5/10/26
400379;Leandro Vieira;lvieira@yahoo.com.br;1.0;5/10/26
400331;Diego Martins;dmartins@gmail.com;1.0;5/10/26
400666;André Correia;andré344@gmail.com;1.0;5/10/26
400610;Renata Freitas;renata634@outlook.com;1.0;5/10/26
400359;Luciana Melo;luciana.melo@hotmail.com;1.0;5/10/26
400595;Larissa Ferreira;larissa423@uol.com.br;1.0;5/10/26
400552;Luciana Melo;luciana694@outlook.com;1.0;5/10/26
400596;Amanda Nunes;amanda.nunes@outlook.com;1.0;5/10/26
400184;Cristina Batista;cristina.batista@uol.com.br;1.0;5/10/26
400662;Mariana Costa;mariana979@yahoo.com.br;1.0;5/10/26
400362;Eliane Duarte;eliane.duarte@uol.com.br;1.0;5/10/26
400532;Priscila Gomes;priscila.gomes@yahoo.com.br;1.0;5/10/26
400249;Tatiane Monteiro;tmonteiro@hotmail.com;1.0;5/10/26
400447;Juliana Pereira;juliana.pereira@yahoo.com.br;1.0;5/10/26
400326;Mariana Costa;mariana.costa@uol.com.br;1.0;5/10/26
400305;Amanda Nunes;amanda784@yahoo.com.br;1.0;5/10/26
400643;Juliana Pereira;juliana.pereira@yahoo.com.br;1.0;5/10/26
400190;Bruno Santos;bruno150@gmail.com;1.0;5/10/26
400340;Eduardo Cunha;eduardo898@outlook.com;1.0;5/10/26
400645;Mariana Costa;mariana679@hotmail.com;1.0;5/10/26
400340;Larissa Ferreira;larissa620@hotmail.com;1.0;5/10/26
400314;Patrícia Moreira;pmoreira@yahoo.com.br;1.0;5/10/26
400525;Leonardo Ribeiro;leonardo.ribeiro@outlook.com;1.0;5/10/26
400612;Marcelo Barbosa;mbarbosa@outlook.com;1.0;5/10/26
400347;Vinícius Pinto;vinícius263@gmail.com;1.0;5/10/26
400270;Diego Martins;diego570@uol.com.br;1.0;5/10/26
400335;Aline Castro;acastro@outlook.com;1.0;5/10/26
400410;Natália Campos;ncampos@uol.com.br;1.0;5/10/26
400332;Débora Lopes;dlopes@yahoo.com.br;1.0;5/10/26
400583;Cristina Batista;cbatista@yahoo.com.br;1.0;5/10/26
400383;Vanessa Mendes;vanessa278@uol.com.br;1.0;5/10/26
400281;Tatiane Monteiro;tatiane.monteiro@gmail.com;1.0;5/10/26
400281;André Correia;andré.correia@outlook.com;1.0;5/10/26
400222;Fernanda Lima;flima@outlook.com;1.0;5/9/26
400319;Luciana Melo;luciana657@hotmail.com;1.0;5/9/26
400517;Roberto Macedo;roberto297@gmail.com;1.0;5/9/26
400352;André Correia;acorreia@outlook.com;1.0;5/9/26
400493;Fernanda Lima;flima@hotmail.com;1.0;5/9/26
400228;Natália Campos;ncampos@uol.com.br;1.0;5/9/26
400698;Natália Campos;natália551@uol.com.br;1.0;5/9/26
400389;Larissa Ferreira;larissa222@outlook.com;1.0;5/9/26
400674;André Correia;andré54@gmail.com;1.0;5/9/26
400708;Rafael Alves;rafael.alves@yahoo.com.br;1.0;5/9/26
400339;Thiago Carvalho;tcarvalho@hotmail.com;1.0;5/9/26
400614;Rafael Alves;rafael.alves@outlook.com;1.0;5/9/26
400588;Marcelo Barbosa;mbarbosa@yahoo.com.br;1.0;5/9/26
400341;Renata Freitas;renata693@uol.com.br;1.0;5/9/26
400268;Rafael Alves;ralves@hotmail.com;1.0;5/9/26
400550;Vinícius Pinto;vinícius253@outlook.com;1.0;5/9/26
400674;Juliana Pereira;jpereira@gmail.com;1.0;5/9/26
400623;Bruno Santos;bruno451@gmail.com;1.0;5/9/26
400494;Renata Freitas;renata41@outlook.com;1.0;5/9/26
400412;Renata Freitas;rfreitas@uol.com.br;1.0;5/9/26
400372;Amanda Nunes;amanda.nunes@outlook.com;1.0;5/9/26
400347;Felipe Ramos;felipe70@uol.com.br;1.0;5/9/26
400628;Henrique Dias;henrique383@outlook.com;1.0;5/9/26
400476;Camila Rocha;crocha@hotmail.com;1.0;5/9/26
400500;Patrícia Moreira;patrícia922@uol.com.br;1.0;5/9/26
400655;Patrícia Moreira;patrícia.moreira@gmail.com;1.0;5/9/26
400322;Pedro Oliveira;pedro.oliveira@hotmail.com;1.0;5/9/26
400656;Gustavo Araujo;gustavo976@hotmail.com;1.0;5/9/26
400556;Felipe Ramos;felipe795@outlook.com;1.0;5/9/26
400448;Renata Freitas;renata.freitas@hotmail.com;1.0;5/9/26
400559;Marcelo Barbosa;marcelo399@outlook.com;1.0;5/9/26
400320;Roberto Macedo;roberto.macedo@gmail.com;1.0;5/9/26
400398;Natália Campos;natália.campos@hotmail.com;1.0;5/9/26
400638;Juliana Pereira;juliana.pereira@gmail.com;1.0;5/9/26
400568;Patrícia Moreira;pmoreira@yahoo.com.br;1.0;5/9/26
400526;Thiago Carvalho;thiago676@uol.com.br;1.0;5/9/26
400391;Luciana Melo;lmelo@yahoo.com.br;1.0;5/9/26
400640;Gustavo Araujo;garaujo@gmail.com;1.0;5/9/26
400415;Amanda Nunes;amanda240@hotmail.com;1.0;5/9/26
400513;Roberto Macedo;rmacedo@yahoo.com.br;1.0;5/9/26
400699;Cristina Batista;cristina.batista@yahoo.com.br;1.0;5/9/26
400663;Mariana Costa;mariana390@gmail.com;1.0;5/9/26
400585;Juliana Pereira;juliana.pereira@uol.com.br;1.0;5/9/26
400342;Rodrigo Teixeira;rteixeira@gmail.com;1.0;5/9/26
400521;Renata Freitas;renata939@outlook.com;1.0;5/9/26
400644;Thiago Carvalho;tcarvalho@hotmail.com;1.0;5/9/26
400675;Natália Campos;natália670@uol.com.br;1.0;5/9/26
400569;Marcos Cavalcanti;marcos.cavalcanti@hotmail.com;1.0;5/9/26
400580;Eliane Duarte;eliane.duarte@hotmail.com;1.0;5/9/26
400733;Gustavo Araujo;gustavo75@hotmail.com;1.0;5/9/26
400422;Marcelo Barbosa;mbarbosa@outlook.com;1.0;5/9/26
400697;Leonardo Ribeiro;leonardo670@hotmail.com;1.0;5/9/26
400349;Fernanda Lima;fernanda.lima@uol.com.br;1.0;5/9/26
400300;Simone Azevedo;sazevedo@yahoo.com.br;1.0;5/9/26
400407;Vanessa Mendes;vanessa750@uol.com.br;1.0;5/9/26
400566;Marcos Cavalcanti;marcos632@uol.com.br;1.0;5/9/26
400437;Diego Martins;diego887@outlook.com;1.0;5/9/26
400492;Thiago Carvalho;thiago.carvalho@outlook.com;1.0;5/9/26
400616;Amanda Nunes;amanda.nunes@outlook.com;1.0;5/9/26
400605;Leandro Vieira;leandro.vieira@gmail.com;1.0;5/9/26
400648;Luciana Melo;luciana279@outlook.com;1.0;5/9/26
400582;Pedro Oliveira;pedro.oliveira@yahoo.com.br;1.0;5/9/26
400434;Mariana Costa;mariana.costa@hotmail.com;1.0;5/9/26
400509;Eduardo Cunha;eduardo33@gmail.com;1.0;5/9/26
400703;Patrícia Moreira;patrícia751@uol.com.br;1.0;5/8/26
400468;Eduardo Cunha;eduardo.cunha@outlook.com;1.0;5/8/26
400520;Bruno Santos;bruno914@yahoo.com.br;1.0;5/8/26
400473;Vanessa Mendes;vanessa.mendes@outlook.com;1.0;5/8/26
400282;André Correia;acorreia@outlook.com;1.0;5/8/26
400756;Luciana Melo;luciana.melo@outlook.com;1.0;5/8/26
400360;Juliana Pereira;juliana.pereira@uol.com.br;1.0;5/8/26
400667;Ana Silva;asilva@outlook.com;1.0;5/8/26
400736;Pedro Oliveira;pedro191@gmail.com;1.0;5/8/26
400672;Isabela Cardoso;isabela914@outlook.com;1.0;5/8/26
400421;Ana Silva;asilva@outlook.com;1.0;5/8/26
400421;Pedro Oliveira;pedro853@gmail.com;1.0;5/8/26
400303;Rodrigo Teixeira;rteixeira@yahoo.com.br;1.0;5/8/26
400714;Eliane Duarte;eliane996@yahoo.com.br;1.0;5/8/26
400319;Paulo Figueiredo;pfigueiredo@outlook.com;1.0;5/8/26
400335;Leonardo Ribeiro;leonardo125@uol.com.br;1.0;5/8/26
400744;Larissa Ferreira;larissa.ferreira@yahoo.com.br;1.0;5/8/26
400672;Fábio Nascimento;fnascimento@outlook.com;1.0;5/8/26
400431;Eliane Duarte;eliane69@yahoo.com.br;1.0;5/8/26
400384;Diego Martins;diego.martins@outlook.com;1.0;5/8/26
400377;André Correia;acorreia@yahoo.com.br;1.0;5/8/26
400675;Roberto Macedo;roberto.macedo@gmail.com;1.0;5/8/26
400312;Paulo Figueiredo;paulo112@uol.com.br;1.0;5/8/26
400451;Natália Campos;ncampos@uol.com.br;1.0;5/8/26
400665;André Correia;andré178@outlook.com;1.0;5/8/26
400429;Juliana Pereira;juliana.pereira@yahoo.com.br;1.0;5/8/26
400561;Bruno Santos;bsantos@uol.com.br;1.0;5/8/26
400556;Bruno Santos;bruno.santos@gmail.com;1.0;5/8/26
400296;Vanessa Mendes;vmendes@hotmail.com;1.0;5/8/26
400778;Roberto Macedo;roberto.macedo@hotmail.com;1.0;5/8/26
400410;André Correia;acorreia@hotmail.com;1.0;5/8/26
400754;Eduardo Cunha;ecunha@uol.com.br;1.0;5/8/26
400542;Marcos Cavalcanti;mcavalcanti@hotmail.com;1.0;5/8/26
400383;Simone Azevedo;simone.azevedo@yahoo.com.br;1.0;5/8/26
400787;Patrícia Moreira;pmoreira@gmail.com;1.0;5/8/26
400787;Thiago Carvalho;thiago.carvalho@outlook.com;1.0;5/8/26
400355;Carlos Souza;csouza@gmail.com;1.0;5/8/26
400554;Camila Rocha;camila.rocha@hotmail.com;1.0;5/8/26
400713;Marcos Cavalcanti;mcavalcanti@gmail.com;1.0;5/8/26
400589;Eduardo Cunha;eduardo736@yahoo.com.br;1.0;5/8/26
400572;Pedro Oliveira;poliveira@yahoo.com.br;1.0;5/8/26
400739;Bruno Santos;bruno430@outlook.com;1.0;5/8/26
400532;Vanessa Mendes;vanessa73@yahoo.com.br;1.0;5/8/26
400595;André Correia;acorreia@yahoo.com.br;1.0;5/8/26
400469;Pedro Oliveira;pedro.oliveira@outlook.com;1.0;5/8/26
400463;Marcelo Barbosa;mbarbosa@outlook.com;1.0;5/8/26
400351;Priscila Gomes;priscila8@yahoo.com.br;1.0;5/8/26
400695;Marcos Cavalcanti;marcos428@uol.com.br;1.0;5/8/26
400493;Carlos Souza;csouza@hotmail.com;1.0;5/8/26
400734;Patrícia Moreira;pmoreira@gmail.com;1.0;5/8/26
400685;Ana Silva;ana.silva@outlook.com;1.0;5/8/26
400341;Leandro Vieira;lvieira@yahoo.com.br;1.0;5/8/26
400505;Aline Castro;aline451@outlook.com;1.0;5/8/26
400524;Marcos Cavalcanti;marcos943@outlook.com;1.0;5/8/26
400605;Diego Martins;diego955@yahoo.com.br;1.0;5/8/26
400699;Eduardo Cunha;eduardo737@outlook.com;1.0;5/8/26
400710;Carlos Souza;carlos411@yahoo.com.br;1.0;5/8/26
400393;Natália Campos;natália997@outlook.com;1.0;5/8/26
400609;Carlos Souza;carlos.souza@uol.com.br;1.0;5/8/26
400817;Vanessa Mendes;vanessa129@gmail.com;1.0;5/8/26
400796;Pedro Oliveira;poliveira@yahoo.com.br;1.0;5/8/26
400527;Carlos Souza;csouza@hotmail.com;1.0;5/8/26
400809;Thiago Carvalho;tcarvalho@outlook.com;1.0;5/8/26
400701;Thiago Carvalho;thiago338@yahoo.com.br;1.0;5/8/26
400812;Marcos Cavalcanti;marcos.cavalcanti@gmail.com;1.0;5/8/26
400357;Leonardo Ribeiro;leonardo373@gmail.com;1.0;5/8/26
400832;Simone Azevedo;simone587@uol.com.br;1.0;5/8/26
400576;Bruno Santos;bsantos@uol.com.br;1.0;5/8/26
400462;Felipe Ramos;felipe542@hotmail.com;1.0;5/8/26
400608;Cristina Batista;cbatista@uol.com.br;1.0;5/8/26
400505;André Correia;acorreia@outlook.com;1.0;5/8/26
400750;Larissa Ferreira;larissa.ferreira@outlook.com;1.0;5/8/26
400433;Aline Castro;aline307@yahoo.com.br;1.0;5/8/26
400629;Juliana Pereira;juliana.pereira@hotmail.com;1.0;5/8/26
400601;Marcelo Barbosa;marcelo.barbosa@outlook.com;1.0;5/8/26
400533;Eduardo Cunha;eduardo.cunha@uol.com.br;1.0;5/8/26
400577;Marcelo Barbosa;marcelo709@gmail.com;1.0;5/8/26
400736;Vanessa Mendes;vanessa912@uol.com.br;1.0;5/8/26
400531;Pedro Oliveira;pedro.oliveira@uol.com.br;1.0;5/8/26
400515;Felipe Ramos;framos@outlook.com;1.0;5/8/26
400492;Rodrigo Teixeira;rteixeira@hotmail.com;1.0;5/8/26
400419;Natália Campos;ncampos@uol.com.br;1.0;5/8/26
400429;Fábio Nascimento;fábio804@yahoo.com.br;1.0;5/8/26
400702;Rafael Alves;rafael.alves@gmail.com;1.0;5/8/26
400627;Débora Lopes;débora820@outlook.com;1.0;5/7/26
400474;Natália Campos;natália.campos@yahoo.com.br;1.0;5/7/26
400787;Rafael Alves;rafael882@outlook.com;1.0;5/7/26
400643;Marcelo Barbosa;marcelo.barbosa@uol.com.br;1.0;5/7/26
400441;Aline Castro;aline.castro@hotmail.com;1.0;5/7/26
400513;Rodrigo Teixeira;rodrigo.teixeira@gmail.com;1.0;5/7/26
400605;Mariana Costa;mariana254@gmail.com;1.0;5/7/26
400740;Mariana Costa;mariana.costa@gmail.com;1.0;5/7/26
400452;Roberto Macedo;rmacedo@hotmail.com;1.0;5/7/26
400841;Rodrigo Teixeira;rteixeira@hotmail.com;1.0;5/7/26
400785;Bruno Santos;bruno.santos@gmail.com;1.0;5/7/26
400687;André Correia;andré.correia@gmail.com;1.0;5/7/26
400685;Fábio Nascimento;fábio.nascimento@uol.com.br;1.0;5/7/26
400714;Carlos Souza;carlos685@gmail.com;1.0;5/7/26
400374;Simone Azevedo;simone363@yahoo.com.br;1.0;5/7/26
400717;Luciana Melo;lmelo@uol.com.br;1.0;5/7/26
400638;Marcos Cavalcanti;marcos352@uol.com.br;1.0;5/7/26
400413;Aline Castro;aline328@yahoo.com.br;1.0;5/7/26
400607;Marcos Cavalcanti;marcos.cavalcanti@yahoo.com.br;1.0;5/7/26
400450;Natália Campos;natália158@uol.com.br;1.0;5/7/26
400623;Eliane Duarte;eliane107@yahoo.com.br;1.0;5/7/26
400805;Marcelo Barbosa;marcelo.barbosa@yahoo.com.br;1.0;5/7/26
400559;Marcos Cavalcanti;marcos.cavalcanti@outlook.com;1.0;5/7/26
400714;Bruno Santos;bsantos@outlook.com;1.0;5/7/26
400552;Renata Freitas;renata355@outlook.com;1.0;5/7/26
400766;Felipe Ramos;framos@uol.com.br;1.0;5/7/26
400445;Felipe Ramos;felipe.ramos@yahoo.com.br;1.0;5/7/26
400568;André Correia;andré.correia@outlook.com;1.0;5/7/26
400637;Natália Campos;ncampos@uol.com.br;1.0;5/7/26
400667;Thiago Carvalho;thiago.carvalho@uol.com.br;1.0;5/7/26
400494;Eliane Duarte;eliane730@gmail.com;1.0;5/7/26
400683;Renata Freitas;rfreitas@hotmail.com;1.0;5/7/26
400878;Gustavo Araujo;gustavo358@outlook.com;1.0;5/7/26
400541;Leandro Vieira;leandro936@uol.com.br;1.0;5/7/26
400472;Priscila Gomes;priscila997@hotmail.com;1.0;5/7/26
400560;Amanda Nunes;anunes@hotmail.com;1.0;5/7/26
400678;Ana Silva;asilva@uol.com.br;1.0;5/7/26
400584;Patrícia Moreira;patrícia728@uol.com.br;1.0;5/7/26
400481;Marcelo Barbosa;marcelo681@yahoo.com.br;1.0;5/7/26
400782;Priscila Gomes;priscila.gomes@outlook.com;1.0;5/7/26
400507;Felipe Ramos;framos@uol.com.br;1.0;5/7/26
400876;Débora Lopes;débora.lopes@yahoo.com.br;1.0;5/7/26
400620;Gustavo Araujo;garaujo@outlook.com;1.0;5/7/26
400543;Camila Rocha;camila.rocha@gmail.com;1.0;5/7/26
400446;Luciana Melo;lmelo@uol.com.br;1.0;5/7/26
400855;Juliana Pereira;jpereira@uol.com.br;1.0;5/7/26
400748;Priscila Gomes;priscila.gomes@outlook.com;1.0;5/7/26
